# bench protocol (jira_latency single-cell)
#   dataset       = jira-full
#   git_sha       = 03ddb1df9aa412935e086ecfbe2b063198c045cd
#   metric        = mrr_at_10 (informational; quality is not the headline)
#   n_queries     = 3
#   kappa_c       = 80
#   kappa_d       = 1000
#   alpha         = null (paper §6 no-CP cell)
#   iters         = 30  (timed cells, each scoring all queries)
#   warmup_iters  = 5  (cells discarded before timed loop)
#   cooldown_ms   = 50  (sleep between timed cells)
#   allocator     = std.heap.smp_allocator
#   timer         = clock_gettime(CLOCK_MONOTONIC)
#   optimize      = ReleaseFast
#   target_os     = macos
#   thread_pin    = no-op (macOS thread_policy not exposed in std; rely on QoS)
iter,query_idx,gather_ms,prune_ms,table_ms,refine_ms,total_ms
0,0,,,,,265.8110
0,1,,,,,152.4270
0,2,,,,,215.4970
1,0,,,,,801.9260
1,1,,,,,209.3740
1,2,,,,,166.2540
2,0,,,,,165.9480
2,1,,,,,164.6690
2,2,,,,,196.9050
3,0,,,,,316.0630
3,1,,,,,259.1290
3,2,,,,,192.1120
4,0,,,,,200.1310
4,1,,,,,161.6980
4,2,,,,,203.1900
5,0,,,,,228.6430
5,1,,,,,223.7260
5,2,,,,,232.2720
6,0,,,,,250.0340
6,1,,,,,276.3300
6,2,,,,,411.6200
7,0,,,,,411.0470
7,1,,,,,579.5900
7,2,,,,,514.4070
8,0,,,,,334.4640
8,1,,,,,547.7050
8,2,,,,,653.3790
9,0,,,,,601.0990
9,1,,,,,376.5050
9,2,,,,,710.2310
10,0,,,,,433.1150
10,1,,,,,343.1470
10,2,,,,,756.3410
11,0,,,,,710.1940
11,1,,,,,444.8500
11,2,,,,,462.0350
12,0,,,,,475.3760
12,1,,,,,315.8000
12,2,,,,,432.0640
13,0,,,,,516.6000
13,1,,,,,594.2530
13,2,,,,,614.8040
14,0,,,,,722.2550
14,1,,,,,280.4830
14,2,,,,,282.3470
15,0,,,,,1160.7220
15,1,,,,,336.9760
15,2,,,,,265.2280
16,0,,,,,261.4710
16,1,,,,,215.0230
16,2,,,,,338.7770
17,0,,,,,244.1560
17,1,,,,,215.7440
17,2,,,,,177.0070
18,0,,,,,199.8990
18,1,,,,,224.7280
18,2,,,,,203.7700
19,0,,,,,245.0200
19,1,,,,,193.2490
19,2,,,,,245.7440
20,0,,,,,254.7080
20,1,,,,,358.2200
20,2,,,,,341.9340
21,0,,,,,426.2650
21,1,,,,,595.2990
21,2,,,,,632.2640
22,0,,,,,312.2580
22,1,,,,,293.3420
22,2,,,,,282.6490
23,0,,,,,293.1600
23,1,,,,,287.4600
23,2,,,,,268.5600
24,0,,,,,245.1760
24,1,,,,,205.2190
24,2,,,,,212.9360
25,0,,,,,289.5880
25,1,,,,,202.0260
25,2,,,,,471.8290
26,0,,,,,275.9920
26,1,,,,,249.3720
26,2,,,,,238.7940
27,0,,,,,216.8430
27,1,,,,,230.5950
27,2,,,,,246.7500
28,0,,,,,300.7960
28,1,,,,,165.0300
28,2,,,,,185.5100
29,0,,,,,193.4950
29,1,,,,,169.4040
29,2,,,,,171.7800
