# bench protocol (jira_latency single-cell)
#   dataset       = jira-full
#   git_sha       = 03ddb1df9aa412935e086ecfbe2b063198c045cd
#   metric        = mrr_at_10 (informational; quality is not the headline)
#   n_queries     = 3
#   kappa_c       = 80
#   kappa_d       = 1000
#   alpha         = null (paper §6 no-CP cell)
#   iters         = 30  (timed cells, each scoring all queries)
#   warmup_iters  = 5  (cells discarded before timed loop)
#   cooldown_ms   = 50  (sleep between timed cells)
#   allocator     = std.heap.smp_allocator
#   timer         = clock_gettime(CLOCK_MONOTONIC)
#   optimize      = ReleaseFast
#   target_os     = macos
#   thread_pin    = no-op (macOS thread_policy not exposed in std; rely on QoS)
iter,query_idx,gather_ms,prune_ms,table_ms,refine_ms,total_ms
0,0,,,,,479.6780
0,1,,,,,919.0420
0,2,,,,,364.3730
1,0,,,,,464.1130
1,1,,,,,478.7510
1,2,,,,,410.3400
2,0,,,,,441.3090
2,1,,,,,421.8010
2,2,,,,,419.9010
3,0,,,,,541.3070
3,1,,,,,487.6370
3,2,,,,,556.7520
4,0,,,,,354.8600
4,1,,,,,344.3590
4,2,,,,,392.8250
5,0,,,,,361.0990
5,1,,,,,349.6860
5,2,,,,,294.8970
6,0,,,,,417.3990
6,1,,,,,200.4490
6,2,,,,,346.2850
7,0,,,,,471.3060
7,1,,,,,299.3120
7,2,,,,,278.4970
8,0,,,,,343.3060
8,1,,,,,214.7960
8,2,,,,,276.9680
9,0,,,,,412.7040
9,1,,,,,348.9350
9,2,,,,,240.1450
10,0,,,,,212.3240
10,1,,,,,181.6940
10,2,,,,,216.2130
11,0,,,,,186.7460
11,1,,,,,161.9960
11,2,,,,,249.4930
12,0,,,,,248.5700
12,1,,,,,207.0380
12,2,,,,,285.0010
13,0,,,,,271.1740
13,1,,,,,207.3730
13,2,,,,,263.3270
14,0,,,,,297.2390
14,1,,,,,191.1860
14,2,,,,,366.3800
15,0,,,,,270.9850
15,1,,,,,215.2820
15,2,,,,,265.4740
16,0,,,,,321.3410
16,1,,,,,456.3470
16,2,,,,,332.4190
17,0,,,,,209.9280
17,1,,,,,323.1660
17,2,,,,,271.8850
18,0,,,,,401.6060
18,1,,,,,220.8340
18,2,,,,,322.2520
19,0,,,,,369.3500
19,1,,,,,312.9440
19,2,,,,,335.4950
20,0,,,,,219.0650
20,1,,,,,700.3330
20,2,,,,,537.0890
21,0,,,,,390.5960
21,1,,,,,325.3300
21,2,,,,,432.1400
22,0,,,,,312.8940
22,1,,,,,447.8720
22,2,,,,,416.1630
23,0,,,,,595.5220
23,1,,,,,491.2460
23,2,,,,,441.1920
24,0,,,,,254.5990
24,1,,,,,162.9040
24,2,,,,,240.3420
25,0,,,,,333.5990
25,1,,,,,171.2770
25,2,,,,,214.7270
26,0,,,,,236.6410
26,1,,,,,365.8760
26,2,,,,,290.4830
27,0,,,,,167.4500
27,1,,,,,159.0130
27,2,,,,,233.1260
28,0,,,,,309.0100
28,1,,,,,187.6180
28,2,,,,,255.9990
29,0,,,,,459.4960
29,1,,,,,215.3970
29,2,,,,,256.2530
