# bench protocol (jira_latency single-cell)
#   dataset       = jira-full
#   git_sha       = 03ddb1df9aa412935e086ecfbe2b063198c045cd
#   metric        = mrr_at_10 (informational; quality is not the headline)
#   n_queries     = 3
#   kappa_c       = 80
#   kappa_d       = 1000
#   alpha         = null (paper §6 no-CP cell)
#   iters         = 30  (timed cells, each scoring all queries)
#   warmup_iters  = 5  (cells discarded before timed loop)
#   cooldown_ms   = 50  (sleep between timed cells)
#   allocator     = std.heap.smp_allocator
#   timer         = clock_gettime(CLOCK_MONOTONIC)
#   optimize      = ReleaseFast
#   target_os     = macos
#   thread_pin    = no-op (macOS thread_policy not exposed in std; rely on QoS)
iter,query_idx,gather_ms,prune_ms,table_ms,refine_ms,total_ms
0,0,,,,,212.0350
0,1,,,,,607.9330
0,2,,,,,290.0300
1,0,,,,,254.7800
1,1,,,,,210.4410
1,2,,,,,249.3550
2,0,,,,,221.2830
2,1,,,,,242.8810
2,2,,,,,232.4120
3,0,,,,,221.4270
3,1,,,,,179.2740
3,2,,,,,229.4850
4,0,,,,,254.8080
4,1,,,,,193.2190
4,2,,,,,183.0880
5,0,,,,,197.5360
5,1,,,,,197.5430
5,2,,,,,220.0610
6,0,,,,,259.1140
6,1,,,,,242.9370
6,2,,,,,259.6790
7,0,,,,,258.8410
7,1,,,,,311.0930
7,2,,,,,274.5110
8,0,,,,,226.9310
8,1,,,,,429.2630
8,2,,,,,231.0310
9,0,,,,,322.3210
9,1,,,,,225.5860
9,2,,,,,350.7920
10,0,,,,,212.8910
10,1,,,,,337.7800
10,2,,,,,940.8730
11,0,,,,,360.5720
11,1,,,,,257.5430
11,2,,,,,306.7050
12,0,,,,,503.5230
12,1,,,,,266.0080
12,2,,,,,217.7120
13,0,,,,,217.7720
13,1,,,,,381.4000
13,2,,,,,336.4030
14,0,,,,,342.4910
14,1,,,,,445.2540
14,2,,,,,367.8490
15,0,,,,,688.3820
15,1,,,,,601.6190
15,2,,,,,490.3270
16,0,,,,,454.1530
16,1,,,,,424.0650
16,2,,,,,482.2610
17,0,,,,,243.3050
17,1,,,,,235.0210
17,2,,,,,539.1420
18,0,,,,,220.3080
18,1,,,,,258.1500
18,2,,,,,229.8200
19,0,,,,,235.0530
19,1,,,,,294.7280
19,2,,,,,732.2410
20,0,,,,,624.5190
20,1,,,,,941.2110
20,2,,,,,320.8370
21,0,,,,,219.5330
21,1,,,,,210.4680
21,2,,,,,315.7870
22,0,,,,,609.5750
22,1,,,,,575.1820
22,2,,,,,370.0590
23,0,,,,,409.6490
23,1,,,,,551.3800
23,2,,,,,793.1040
24,0,,,,,394.6030
24,1,,,,,750.7310
24,2,,,,,862.2760
25,0,,,,,676.0680
25,1,,,,,1033.9610
25,2,,,,,689.8730
26,0,,,,,590.6640
26,1,,,,,471.6110
26,2,,,,,243.3580
27,0,,,,,1008.0930
27,1,,,,,416.7140
27,2,,,,,578.7820
28,0,,,,,886.3380
28,1,,,,,554.4700
28,2,,,,,736.5160
29,0,,,,,1206.3840
29,1,,,,,1327.1690
29,2,,,,,669.0880
