# bench protocol (jira_latency single-cell)
#   dataset       = jira-full
#   git_sha       = 03ddb1df9aa412935e086ecfbe2b063198c045cd
#   metric        = mrr_at_10 (informational; quality is not the headline)
#   n_queries     = 3
#   kappa_c       = 80
#   kappa_d       = 1000
#   alpha         = null (paper §6 no-CP cell)
#   iters         = 30  (timed cells, each scoring all queries)
#   warmup_iters  = 5  (cells discarded before timed loop)
#   cooldown_ms   = 200  (sleep between timed cells)
#   allocator     = std.heap.smp_allocator
#   timer         = clock_gettime(CLOCK_MONOTONIC)
#   optimize      = ReleaseFast
#   target_os     = macos
#   thread_pin    = no-op (macOS thread_policy not exposed in std; rely on QoS)
iter,query_idx,gather_ms,prune_ms,table_ms,refine_ms,total_ms
0,0,,,,,103.3240
0,1,,,,,96.9480
0,2,,,,,102.6960
1,0,,,,,113.1270
1,1,,,,,101.0980
1,2,,,,,106.0790
2,0,,,,,111.4010
2,1,,,,,101.0820
2,2,,,,,111.9150
3,0,,,,,106.0190
3,1,,,,,96.7420
3,2,,,,,106.6660
4,0,,,,,103.0080
4,1,,,,,96.1370
4,2,,,,,102.2550
5,0,,,,,104.0850
5,1,,,,,95.7520
5,2,,,,,101.5350
6,0,,,,,107.7820
6,1,,,,,96.8710
6,2,,,,,104.4580
7,0,,,,,103.8250
7,1,,,,,93.6370
7,2,,,,,101.2600
8,0,,,,,105.3570
8,1,,,,,94.0000
8,2,,,,,104.5630
9,0,,,,,103.4620
9,1,,,,,96.2930
9,2,,,,,109.6880
10,0,,,,,106.2880
10,1,,,,,98.6310
10,2,,,,,104.4010
11,0,,,,,109.8120
11,1,,,,,97.0720
11,2,,,,,110.9320
12,0,,,,,108.3480
12,1,,,,,95.2360
12,2,,,,,102.5060
13,0,,,,,107.3630
13,1,,,,,94.9420
13,2,,,,,100.5170
14,0,,,,,106.6090
14,1,,,,,109.7250
14,2,,,,,105.6840
15,0,,,,,106.9560
15,1,,,,,103.0980
15,2,,,,,107.7280
16,0,,,,,105.7840
16,1,,,,,104.4620
16,2,,,,,114.6860
17,0,,,,,123.2080
17,1,,,,,97.4970
17,2,,,,,101.1780
18,0,,,,,111.1510
18,1,,,,,114.0160
18,2,,,,,117.8100
19,0,,,,,128.6760
19,1,,,,,111.0580
19,2,,,,,132.5100
20,0,,,,,120.3710
20,1,,,,,145.6100
20,2,,,,,125.3540
21,0,,,,,108.5220
21,1,,,,,105.1850
21,2,,,,,108.6370
22,0,,,,,152.8840
22,1,,,,,116.0360
22,2,,,,,118.9420
23,0,,,,,144.8950
23,1,,,,,120.6220
23,2,,,,,131.2830
24,0,,,,,128.4120
24,1,,,,,113.7820
24,2,,,,,137.6100
25,0,,,,,125.2590
25,1,,,,,135.1260
25,2,,,,,130.2050
26,0,,,,,137.3260
26,1,,,,,123.1380
26,2,,,,,143.7160
27,0,,,,,115.1750
27,1,,,,,149.5250
27,2,,,,,107.7350
28,0,,,,,104.9150
28,1,,,,,97.3790
28,2,,,,,101.5890
29,0,,,,,99.2200
29,1,,,,,90.2360
29,2,,,,,96.3020
